name,description,id,image_id
Blur,"Blur er et engelsk rock band, stiftet i 1989 under navnet Seymour, men skiftede i 1990 navn til Blur efter krav fra deres pladeselskab Food Records. Bandet består af Damon Albarn (sang, klaver, keyboard), Graham Coxon (guitar, sang), Alex James (bas) og Dave Rowntree (trommer). Coxon forlod gruppen i 2002 for at koncentrere sig som sin solokarriere, men vendte tilbage til gruppen i 2009.

Gruppen var i begyndelsen af 90'erne ét af de første såkaldte britpop-bands, der sammen med Suede, Oasis og Pulp gjorde 60'er-inspireret rockmusik populær igen. Gruppen vendte sig dog væk fra britpoppen ved udgivelsen af Blur (1997) og 13 (1999) og begyndte at spille i en stil nærmere art-rock.

Efter 2003 holdt gruppen en pause, men vendte i 2009 ved en række koncerter i Storbritannien og i april 2010 lagde bandet singlen """"Fool's Day"""" ud til gratis download på bandets hjemmeside. De har efter gendannelsen turneret internationalt og udgivet albummet The Magic Whip (2015), der blev nr. 1 i England.",00febdcd-1356-4ee5-aeb0-26d14c0c6b1a,257b75e5-fc80-4517-9f22-bb378d0289fa
Electric Guitars,"Electric Guitars blev startet 2012 af de to danske guitarister, Mika Vandborg og Søren Andersen. Som begge er store guitarister på den danske musikscene. 

Mika Vandborg, den skæggede mand har siden 2009 været den nye guitarist i Love Shop, og du har sikkert også set ham med en stratocaster og en hvid cowboyhat spille med Gnags. Eller med kunstnere som Dicte/Hempler, Kasper Winding, Nikolaj & Piloterne eller ... Listen er lang, og samtidig laver han plader og turnerer med sit soloprojekt. 
Siden 2003 er det blevet til tre soloplader - ‘Under The Sun’ (2003), ‘2010’ (2010) og ‘Wall of Books’ (2013). Derudover udgav albummet ‘Future Garage Sale Item’ (2007) som et bandprojekt.

Søren Andersen den langhårede rockguitarist har de seneste år turneret med Deep Purple-legenden Glenn Hughes, der håndplukkede danskeren som lead guitarist til sit band. 
Derudover er han kendt som manden bag hittene i hedengangne Kick The Kangaroo, lige som han turnerer med kunstnere som Marco Mendoza og Mike Tramp.
I sommeren 2011 udkom hans første soloalbum, ‘Constant Replay’, der er produceret af Søren Andersen selv i Medley Studios, hvor han hjemmevant producerer og skriver numre til en stribe danske kunstnere.

Siden de startede deres turné i 2012, har de besøgt festivaler og afholdt afskillige koncerter landet over. Kendetegnet for dem alle er at guitaren er i centrum. Når Mika Vandborg og Søren Andersen går på scenen, bliver der spillet fremragende guitarrock, fyldt med guitar soloer og rå riffs. 

Når Electric Guitars går på scenen bakkes de op af Morten Hellborn på trommer og Peter Kjøbsted på bas.",019b7bbe-f030-43c7-a7a4-05d23ac86917,2eceaa22-9c12-4c17-a7a5-857b6ca95ae8
Mads Langer,"Langer er født i Aabenraa, men som 3-årig flyttede han og hans familie til Skive hvor han voksede op, her fattede han tidligt interesse for barndomshjemmets klaver og trommesæt. Han fortsatte interessen på Skive Musikskole, hvor musikere fra Superheroes, Carpark North og Dúné også har gået.[kilde mangler]

Efter at være blevet student fra Skive Gymnasium flyttede Mads Langer i 2003 til København, hvor han spillede med i en række jamsessions og lærte en række musikere at kende. Men vejen ind i musikbranchen kom, da han vendte hjem til Skive for at være dommer i en lokal musikkonkurrence. Her mødte han Kashmirs daværende manager, Brian Nielsen, og spillede nogle af sine sange for ham. Det førte til en kontrakt med pladeselskabet Copenhagen Records.[kilde mangler]",0508dbc1-457d-4d62-b148-577142a427ae,2d3eeb69-a61c-4d80-b73c-096d365e566e
Tim Christensen,"Tim Christensen er en dansk sanger, sangskriver og musiker, der fra 1988 til 1998 var sanger, guitarist og komponist for rock-trioen Dizzy Mizz Lizzy, hvis debutalbum solgte i alt 350.000 eksemplarer i Danmark og Japan.",05bf3c2e-e4cc-4150-81bf-9bd6c5969928,0ddc90ff-7acd-4a60-9e3c-1b136dc2908d
Aqua,"Aqua er en dansk dance-popgruppe med den norskfødte forsanger Lene Nystrøm og to danskfødte medlemmer René Dif (rap) og Søren Rasted (keyboard). Indtil 2016 indgik Claus Norréen (guitarist) også. Gruppen blev dannet i 1994 og fik internationalt gennembrud med deres fjerde single ""Barbie Girl"". I 2001 blev gruppen opløst og senere gendannet i 2007 [1]. Aqua er med 33 millioner solgte plader den mest succesrige danske musikgruppe nogensinde målt på salg.",230a3629-21ac-4e31-97ef-22b6d4a0d208,1177223c-aa27-4668-8d7e-8aedba538089
Infernal,Infernal er en dansk dance-popduo bestående af sangerinde og sangskriver Lina Rafn og producer og sangskriver Paw Lagermann.,23cfe32d-0c5f-4595-bc04-d57471dc2f6d,6df09b1a-8ddd-4094-af59-43eee69b6be8
Hej Matematik,"Hej Matematik er en dansk popduo bestående af Søren Rasted og hans nevø Nicolaj Rasted. Duoen udgav i 2007 singlerne ""Gymnastik"" og ""Centerpubben"" fra albummet Vi burde ses noget mere, udgivet på Copenhagen Records i februar 2008.",334faadf-a58f-4249-83b5-5c4b8d4acc80,322ac7ff-c81f-4633-8bc4-097483a8a993
Inside Llewyn Davis,"Inside Llewyn Davis' følger musikeren Llewyn Davis, der forsøger at slå igennem som folk-sanger i New York i 1961. Men hans dybtfølte, indadvendte musik passer ikke til musikbranchen, der søger den lettere og mere optimistiske poplyd. 

Det bliver derfor kun til små scenejobs på den lokale bule, og det lille pladeselskab, der tidligere har udgivet en duetindspilning med ham, tror ikke på hans fremtid som solokunstner. 

Pengene er der derfor ikke mange af, og Llewyn lever fra hånden til munden og overnatter på en sofa hos sin utilfredse veninde. Trods modstanden og forhindringerne nægter den lidende kunstner at give op og sætter kursen mod en større og potentielt mere indbringende fremtid. 

Trods den grundlæggende grå stemning, fornægter auteur-parrets tørre humor sig ikke. Men samtidig er ’Inside Llewyn Davis’ et nyt eksempel på, at instruktørerne på plotsiden formår at forny sig gang på gang, og i deres nyeste film foregår handlingen over en uge, hvilket ender med at blive en knivskarp pointe.

Filmen hylder den kreative bølge, der kom ud af Greenwich Village i perioden med en række folk-sange fremført til perfektion af bl.a. skuespillerne Oscar Isaac, Justin Timberlake og Carey Mulligan. 

’Inside Llewyn Davis’ appellerer dog til andre end folk-entusiaster med sine bredt favnende, filmiske kvaliteter og tankevækkende plot.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/insidellewyndavisplakat.jpg?itok=w2zypV6E",391a688f-ec68-4c8a-8191-fb62fa60b686,ef6ba452-76f0-4525-8fb3-5863ae821c7b
Bon Jovi,"Bon Jovi er et rockband, der oprindeligt stammer fra New Jersey, USA.

Bon Jovi blev dannet af forsangeren Jon Bon Jovi, guitaristen Richie Sambora, trommeslageren Tico Torres, pianisten David Bryan og bassisten Alec John Such i 1983. Alec John Such gik senere ud af bandet og blev erstattet af bassisten Hugh McDonald, som dog ikke betragtes som et officielt medlem af bandet.

Bon Jovi har solgt over 34 millioner album i USA[1], og over 120 millioner album i hele verden. Bon Jovis mest solgte album er Slippery When Wet fra 1986 med bl.a. en af bandets nok mest kendte sange, Livin' On a Prayer.",4a76ad12-371c-4241-9261-25dea372032b,1c980416-74b6-44f8-ba5b-f2aebbbddaff
Sort Sol,"Sort Sol er et dansk rockband, der startede som punkband i efteråret 1977 under navnet Sods. Gruppen har vundet ti danske Grammy-priser, heriblandt har albummene Flow My Firetear (1991) og Glamourpuss (1994) modtaget prisen for Årets danske album.

Gruppen deltog som Sods på punkopsamlingspladen Pære Punk i 1979 og i generations-manifestationen NÅ!!80 i Huset i Magstræde (i dag kaldet Huset-KBH), København i 1980. I skiftede 1983 Sods navn til Sort Sol.",4b98d807-abf9-4978-a87d-7c828ed3bbcf,ca9e0140-d7a9-4e8a-9032-1ef6e4f78d95
Thomas Helmig,"Thomas Helmig (født 15. oktober 1964 i Egå, Aarhus) er en dansk sanger, sangskriver, musiker og producer. Fra 1983 til 1985 var han sanger og frontfigur i soul- og funkgruppen Elevatordrengene, og debuterede som solist i 1985 på støttesinglen ""Afrika"", og samme år med albummet Thomas. ",50735ee0-1f65-4bef-8677-2c8ef8509c25,da11dbc8-4e93-450e-a1b9-e97d7bb1b7cb
Den digitale ramme,"Digital billedudstilling af multikunstneren Willy Web.

Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Rhoncus urna neque viverra justo nec ultrices dui sapien. Auctor neque vitae tempus quam pellentesque nec. Porta non pulvinar neque laoreet suspendisse interdum. Natoque penatibus et magnis dis parturient montes nascetur ridiculus. Et pharetra pharetra massa massa ultricies mi. Libero volutpat sed cras ornare arcu dui. Vel fringilla est ullamcorper eget nulla. Pharetra magna ac placerat vestibulum lectus mauris ultrices. Ac ut consequat semper viverra. Massa tincidunt nunc pulvinar sapien et ligula ullamcorper malesuada proin. Ut enim blandit volutpat maecenas volutpat. Ipsum dolor sit amet consectetur. Ipsum dolor sit amet consectetur adipiscing. Sem viverra aliquet eget sit amet tellus. Eget sit amet tellus cras adipiscing enim eu. Volutpat maecenas volutpat blandit aliquam. Risus ultricies tristique nulla aliquet enim tortor at.

Egestas erat imperdiet sed euismod nisi porta lorem mollis. Nunc congue nisi vitae suscipit tellus mauris a. Lacus sed turpis tincidunt id. Congue nisi vitae suscipit tellus. Lectus quam id leo in vitae turpis massa sed elementum. Lacus laoreet non curabitur gravida arcu. Dignissim cras tincidunt lobortis feugiat vivamus at. Porta lorem mollis aliquam ut porttitor leo. Imperdiet nulla malesuada pellentesque elit eget gravida cum sociis natoque. Tempus iaculis urna id volutpat lacus laoreet non. Vel elit scelerisque mauris pellentesque pulvinar pellentesque habitant.

In massa tempor nec feugiat nisl. Cras ornare arcu dui vivamus arcu felis. In aliquam sem fringilla ut morbi tincidunt. Cras fermentum odio eu feugiat. Ullamcorper a lacus vestibulum sed arcu non odio euismod. Tellus mauris a diam maecenas sed enim ut sem. Felis imperdiet proin fermentum leo vel. Scelerisque fermentum dui faucibus in ornare. Eget nunc lobortis mattis aliquam faucibus purus in massa tempor. Laoreet sit amet cursus sit amet dictum sit amet justo.

Lacus laoreet non curabitur gravida arcu ac tortor dignissim convallis. Consectetur libero id faucibus nisl tincidunt eget nullam. Mattis aliquam faucibus purus in massa tempor nec. Odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Tempor orci dapibus ultrices in iaculis. Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.

Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.

 ",5172eabc-038a-47a0-86ba-d4f7ee6bb9b9,63fe1a08-b6e5-439a-b46e-0ca456803805
Allan Olsen,"Allan Olsen står mere og mere som et fyrtårn på den danske musikscene. Ikke mindst som solist i ordets egentlige forstand:

Alene på scenen, foran et kræsent og lyttende publikum.

Allan Olsen’s repertoire spænder over hele hans brede sang-katalog, der gør brug af hele paletten,
fra rock til folk, rap og á capella.
Ingen dansk sangskriver nyder større respekt og anerkendelse, end Allan Olsen. Efter ialt 20 plade-udgivelser og tusindvis af koncerter, er Olsen altid garant for et sjældent højt niveau ved sine optrædender. 

Måske fordi han aldrig har mistet respekten for sit skønne publikum.",52021869-7176-454b-9321-2dffaa9126f1,9b37b69f-d1f6-4e4e-89f9-542c1561f135
Metallica Through The Never,"Verdens bedst sælgende heavyband, Metallica, spiller en stort anlagt stadionkoncert foran titusinder af hardcore fans. Det imponerende sceneshow inkluderer avanceret pyrotechnics og bevægelige scene-elementer til lyden af de største hits fra metalmastodonternes 30-årige karriere. Alt dette går bandets roadie, Trip, glip af, da han under koncerten bliver sendt på en hasteopgave ude i byen – en mission, der udvikler sig i en absurd retning og som Trip hurtigt mister kontrollen over.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/metallica-kinodk.gif?itok=z1xJ943F",5710d984-cf2a-4bfe-ab1f-33cb49911f8d,fe631a1b-6cad-4d03-b8d3-10f89584235a
"CV Jørgensen ","Carsten Valentin (C.V.) Jørgensen (født 9. maj 1950 i Lyngby) er en dansk sanger og sangskriver. Mellemnavnet Valentin er et påtaget kunstnernavn og ikke lovformelig anerkendt.[1]

C.V. Jørgensen fik efter to pladeudgivelser i relativ ubemærkethed sit gennembrud med folkrock LP'en Storbyens små oaser (1977), hvor hans satiriske tekster spiddede både den danske kolonihaveidyl og den akademiske intelligentsia.

Op gennem 1980'erne var Jørgensens tekster i klar opposition til yuppies og borgerlig politisk dominans. I 1980 indspillede han albummet Tidens tern sammen med den amerikansk-danske guitarist Billy Cross' Delta Cross Band. Sangen Costa del Sol, der er en satire over rige danske pensionisters flugt til skattely ved den spanske sydkyst, blev en landeplage. Cross og Jørgensen ragede kort efter uklar, og det videre samarbejde blev afbrudt. I januar 2006 blev Tidens tern udvalgt til at indgå i Kulturministeriets kulturkanon under kategorien populærmusik.",6d5fa2c4-5c94-46b6-a231-c6ffbbcd3c79,e809c7cc-ceec-47bf-bdcd-e0a1afae46db
D/Troit,"Gør dig klar til en omgang møgbeskidt sydstats soul, når D/troit igen får de danske temperaturer til at nå tropiske højder. Til efteråret rammer det danske soulband spillestederne med en sådan kraft, at selv de amerikanske sydstater må blegne af misundelse.

Førstesinglen Soul Sound System, fra den kommende debut LP, er netop landet. Soul Sound System er så soulet og så beskidt på en varm og indbydende måde, så man aldrig havde gættet, at det er fem gutter fra København der står bag.

I 2015 udgav bandet en EP der, inden den overhovedet udkom, blev den spillet på national radio. Lyden af de blege, danske soul-drenge har efterfølgende også nået udlandet, hvor den har ramt både radioshows og blogs.",806f96f7-a2a5-464e-bddd-19183d1d2c5a,845b2a66-ebde-4d35-8e2f-d9e942ac6033
FM Belfast,"Igennem de seneste ti år har bandet spillet på festivaler og klubber over det meste af verden, lige fra de tidligeste shows i hjembyen Reykjavik til USA, Sydney og Tokyo. De har crowd-surfed på en lille hamburger bar I Norge med 20 tilskuere, og varmet op for The Flaming Lips i Sydney med titusinde dansende tilskuere. Ydermere blev de blev også særligt fremhævet på den anerkendte amerikanske festival SXSW Austin, da de optrådte der.",8205d848-546a-42ac-863b-cf5d8d1a2c3e,4120fc72-98e2-48b0-a42b-9189242b756d
Gimme Danger,"Gimme Danger' er en dokumentarfilm, der fortæller historien om Iggy Pop og The Stooges.

I 1967 blev kimen lagt til et af musikhistoriens vigtigste bands, der blev et symbol på garagerockens gennembrud og punkens fødsel med den karismatiske forsanger, Iggy Pop, i front.

Kombinationen af rock, blues, R&B og jazz overrumplede publikum, og plantede frøene til det, der senere ville blive kendt som punk.

'Gimme Danger' er instrueret af Jim Jarmusch. Han har tidligere portrætteret en af rockens største helte i 'Year of the Horse', hvor omdrejningspunktet var Neil Young.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/awe0729_gimme_danger_dk_plakat.jpg?itok=63uHsdhe",8e3b8b32-4425-40f3-8134-9ef95e605847,0f938915-693e-46e1-8571-5583048d433f
Nik & Jay,"Niclas “Nik” Petersen og Jannik “Jay” Thomsen debuterede med singlen ”Nik & Jay”, der ikke bare solgte til en guldcertificering, men også fik slået deres navn fast med syvtommersøm. Derfra var det hit på hit med ”Hot”, ”Pop-Pop”, ”En dag tilbage”, ”Lækker”, ”Kan du høre hende synge”, ”Boing!” og mange flere.

Som successen blev større og større begyndte de at samarbejde med en masse forskellige navne som Søren Huss, Rune RK og Morten Breum, Burhan G, Carpark North, Joey Moe, Sanne Salomonsen, og i 2012 indspillede de den officielle EM-sang sammen med herrelandsholdet.",94943194-2332-4048-abba-4f02becdeb5f,192aac55-fe0f-4689-90a9-9a57087cab8f
Samsara,"Samsara er et helligt ord, der betyder det evigt drejende livshjul. Dette er udgangspunktet for de to filmskabere, mens de søger efter den undvigende strøm af sammenhæng, der løber igennem vores liv. 

Optaget over en periode på fem år, i femogtyve lande, på fem kontinenter og skudt med 70mm film, fører 'Samsara' os til verdener bestående af hellig jord, naturkatastrofer, industrielle komplekser og naturens vidundere.

'Samsara' genforener de to filmskabere Ron Fricke og Mark Magidson, hvis prisvindende film 'Baraka og Chronos' bragte en ny visuel og musikalsk kunstfærdighed til biografrummet.

Billedet tilhører kino.dk
Reference: http://barakasamsara.com/sites/default/files/styles/largest_orig_900/public/samsara_poster_large.jpg?_ga=2.170977956.540862946.1536923809-1042386239.1536923809",97190632-d1d1-4fd6-b0f6-d5477069e1ec,8305ccaf-ef8b-4831-925b-1e99892a3065
L.O.C,"Liam Nygaard O'Connor, bedre kendt under sit kunstnernavn L.O.C., er en dansk-irsk rapper, sangskriver, tv-vært og pladeselskabsejer. Han startede sin karriere i 1995 sammen med Chadi Abdul-Karim, da de dannede rapgruppen Alzheimer Klinikken.",9a0940f1-f947-496e-89d3-a50a52688930,d77e23c3-b39f-4f25-976b-be10d349a554
Pink Floyd The Wall,"Der er lagt op til et gensyn med klassikeren 'Pink Floyd The Wall' er en dystopisk og musikalsk rejse gennem rockmusikkens inderste verden, hvor stoffer og smertefulde minder tager magten, og kører Pink (Bob Geldorf) sikkert mod afgrunden. 

Filmen og især soundtracket står som en rockhistorisk milepæl verden over og må være anses for at være det perfekte 'must' til at starte fredagen på Mediesuset med.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/pink.jpg?itok=INc9rO8j",9f162706-b1f1-4d07-ace3-7bca2deb5cb9,f3190415-04eb-44c4-878c-5d947184e72c
TBA,Ikke endnu fastsat navn,9f522a06-28cf-4068-b330-fc4732ce80ac,a76d72d3-8c7b-478c-933a-8525c3a9d6d9
The Blue Van,"The Blue Van er et dansk rock band, som består af Steffen Westmark (vokal og guitar), Søren Christensen (guitar, keyboard og kor), Allan Fjeldgaard Villadsen (bas) og Per Mølgaard Jørgensen (trommer og kor).",b636bfa7-2e61-4d1f-8f79-4704779d71fb,7a23e35b-ad0e-4ed7-a845-81d3a157ed11
Åbning af festival,Åbning af Mediesuset 2020 v. Mikkel Drejer Raunslund,b92f4461-8a2a-4f65-8d1c-f45e65dd37ba,a76d72d3-8c7b-478c-933a-8525c3a9d6d9
Duné,"Dúné er en dansk rockgruppe dannet i 2001 og består af Piotrek Wasilewski, Ole Bjórn, Mattias Kolstrup. Bandet er især kendt for sine eksplosive livekoncerter og har turneret massivt i både ind- og udland gennem de seneste år, og har i øvrigt spillet support for Foo Fighters i forbindelse med deres koncert i München.

Dúné har udgivet tre albummer, We Are In There You Are Out Here fra 2007, Enter Metropolis fra 2009 og ikke mindst Wild Hearts fra 2013, som fik 5 ud af 6 stjerner i GAFFA og Jyllands Posten og strøg direkte ind som nummer 2 på den danske iTunes liste og nummer 3 på den Officielle Danske Album Hitliste. Bandet er inspireret af 1970'ernes punk, 80'ernes pop og 90'ernes indie, som de har skabt deres egen unikke blanding af, som de på deres to første plader kaldte indielectrock.

Indtil videre i karrieren har Dúné allerede vundet et stort antal priser, herunder den største pris ved P3 Guld (P3 Prisen), GAFFA-Priser, tre Danish Music Awards, m.fl.",b9ce3426-8b57-4315-afc4-556f5f40c3ee,ac145107-f076-4fee-9d38-f8e6752b70c8
D-A-D,"D-A-D sørger for masser af energi og el-spade, når de gæster Mediesuset for ottende gang til sommer. Siden 1980'erne har rockveteranerne turneret Danmark, resten af Europa og USA tyndt. Gruppen har eksisteret i omtrent ligeså mange år som Mediesuset, og bandet har været med hele syv gange siden debuten i 1995.

Selvom der er fart på, og bandet er vant til de største internationale scener, er det stadig noget helt særligt for Jesper Binzer, Stig Pedersen, Jacob Binzer og Laust Sonne at være med på Mediesuset.",bb8a0a40-8f40-4cee-b87a-5c3f8dfad67d,74569931-d717-420e-bb57-4018735069c8
Peter Sommer,"Peter Sommer er aktuel med sit femte album, og det er timet helt perfekt for rockpoetens fans i det aarhusianske. Inden længe gæster han Mediesuset, og med sig har han kufferten fuld af anmelderstjerner.

Elskede at drømme, drømmer om at elske udkom den 9. marts og har modtaget seks stjerner i Børsen og fem stjerner i BT, Politiken og Gaffa. Desuden tilegnede radiokanalen P6 BEAT for nylig hele sin sendeflade for en dag til Peter Sommers musik. Sangeren med de krøllede tekster er populær som aldrig før.
Med sig i Mediesuset har Peter Sommer oven i købet sit band Tiggerne.

Peter Sommer debuterede med kæmpehittet Valby Bakke i 2004, der lagde an til debutalbummet På den anden side. Udover solokarrieren har han høstet store roser for samarbejdet med Simon Kvamm i duoen De Eneste To.",c22fa5e3-a5d5-46c3-b464-49aad8f6cc78,4d45924d-20cf-4bfa-93e7-58c33973e490
Down,"Down is an American heavy metal supergroup that formed in 1991 in New Orleans, Louisiana. The band's current lineup consists of vocalist Phil Anselmo (Pantera), guitarist Pepper Keenan (Corrosion of Conformity), guitarist Bobby Landgraf (Honky), bassist Pat Bruders (Goatwhore), and drummer Jimmy Bower (Crowbar, Eyehategod, and Superjoint Ritual). 

Since their formation, Down has gone on hiatus twice and they have released five studio albums. The first three were LPs entitled NOLA (1995), Down II: A Bustle in Your Hedgerow (2002), and Over the Under (2007). In 2008,[3] the band began working on additional material, which resulted in two EPs entitled Down IV – Part I, released in September 2012 and Down IV – Part II, released in May 2014.",e26dac08-8284-4f8e-aad8-b956dcc06755,80be33ef-64ec-4271-9043-e57fb8a128dc
Bohemian Rhapsody,"Filmen 'Bohemian Rhapsody' er en biografi om forsangeren for rockbandet Queen, Freddie Mercury.

Dramaet fokusere på tiden op til Mercurys optræden ved Live Aid-koncerten i 1985.

Rami Malek slog for alvor igennem i tech-serien 'Mr. Robot', men har før medvirket i indiefilmen Short Term 12.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/bohemianplakat.jpg?itok=arl_lazr",f2d94de9-cf40-440a-8bb0-a1cca0686bfa,dcf143ce-86a4-4a1f-9b3c-89fe208c40b4