"id","stage_id","image_id","type_id","title","description","datetime"
1,1,64,4,"Åbning af festival","Åbning af Mediesuset 2020 v. Rasmus Nygaard","2020-07-08 16:30:00"
2,1,41,1,"Peter Sommer","Peter Sommer er aktuel med sit femte album, og det er timet helt perfekt for rockpoetens fans i det aarhusianske. Inden længe gæster han Mediesuset, og med sig har han kufferten fuld af anmelderstjerner.

Elskede at drømme, drømmer om at elske udkom den 9. marts og har modtaget seks stjerner i Børsen og fem stjerner i BT, Politiken og Gaffa. Desuden tilegnede radiokanalen P6 BEAT for nylig hele sin sendeflade for en dag til Peter Sommers musik. Sangeren med de krøllede tekster er populær som aldrig før.
Med sig i Mediesuset har Peter Sommer oven i købet sit band Tiggerne.

Peter Sommer debuterede med kæmpehittet Valby Bakke i 2004, der lagde an til debutalbummet På den anden side. Udover solokarrieren har han høstet store roser for samarbejdet med Simon Kvamm i duoen De Eneste To.","2020-07-08 17:00:00"
3,1,48,1,"Tim Christensen","Tim Christensen er en dansk sanger, sangskriver og musiker, der fra 1988 til 1998 var sanger, guitarist og komponist for rock-trioen Dizzy Mizz Lizzy, hvis debutalbum solgte i alt 350.000 eksemplarer i Danmark og Japan.","2020-07-08 20:00:00"
4,1,42,1,"Sort Sol","Sort Sol er et dansk rockband, der startede som punkband i efteråret 1977 under navnet Sods. Gruppen har vundet ti danske Grammy-priser, heriblandt har albummene Flow My Firetear (1991) og Glamourpuss (1994) modtaget prisen for Årets danske album.

Gruppen deltog som Sods på punkopsamlingspladen Pære Punk i 1979 og i generations-manifestationen NÅ!!80 i Huset i Magstræde (i dag kaldet Huset-KBH), København i 1980. I skiftede 1983 Sods navn til Sort Sol.","2020-07-08 23:00:00"
5,2,43,1,"CV Jørgensen ","Carsten Valentin (C.V.) Jørgensen (født 9. maj 1950 i Lyngby) er en dansk sanger og sangskriver. Mellemnavnet Valentin er et påtaget kunstnernavn og ikke lovformelig anerkendt.[1]

C.V. Jørgensen fik efter to pladeudgivelser i relativ ubemærkethed sit gennembrud med folkrock LP'en Storbyens små oaser (1977), hvor hans satiriske tekster spiddede både den danske kolonihaveidyl og den akademiske intelligentsia.

Op gennem 1980'erne var Jørgensens tekster i klar opposition til yuppies og borgerlig politisk dominans. I 1980 indspillede han albummet Tidens tern sammen med den amerikansk-danske guitarist Billy Cross' Delta Cross Band. Sangen Costa del Sol, der er en satire over rige danske pensionisters flugt til skattely ved den spanske sydkyst, blev en landeplage. Cross og Jørgensen ragede kort efter uklar, og det videre samarbejde blev afbrudt. I januar 2006 blev Tidens tern udvalgt til at indgå i Kulturministeriets kulturkanon under kategorien populærmusik.","2020-07-08 18:30:00"
6,2,47,1,"Down","Down is an American heavy metal supergroup that formed in 1991 in New Orleans, Louisiana. The band's current lineup consists of vocalist Phil Anselmo (Pantera), guitarist Pepper Keenan (Corrosion of Conformity), guitarist Bobby Landgraf (Honky), bassist Pat Bruders (Goatwhore), and drummer Jimmy Bower (Crowbar, Eyehategod, and Superjoint Ritual). 

Since their formation, Down has gone on hiatus twice and they have released five studio albums. The first three were LPs entitled NOLA (1995), Down II: A Bustle in Your Hedgerow (2002), and Over the Under (2007). In 2008,[3] the band began working on additional material, which resulted in two EPs entitled Down IV – Part I, released in September 2012 and Down IV – Part II, released in May 2014.","2020-07-08 21:30:00"
7,2,34,2,"DJ Backend","Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-08 23:30:00"
8,3,7,4,"Aalborg Air Baloons","Lacus laoreet non curabitur gravida arcu ac tortor dignissim convallis. Consectetur libero id faucibus nisl tincidunt eget nullam. Mattis aliquam faucibus purus in massa tempor nec. Odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Tempor orci dapibus ultrices in iaculis. Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.

Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.Ikke endnu fastsat navn","2020-07-08 17:00:00"
9,3,11,4,"Postkort fra paradis","n massa tempor nec feugiat nisl. Cras ornare arcu dui vivamus arcu felis. In aliquam sem fringilla ut morbi tincidunt. Cras fermentum odio eu feugiat. Ullamcorper a lacus vestibulum sed arcu non odio euismod. Tellus mauris a diam maecenas sed enim ut sem. Felis imperdiet proin fermentum leo vel. Scelerisque fermentum dui faucibus in ornare. Eget nunc lobortis mattis aliquam faucibus purus in massa tempor. Laoreet sit amet cursus sit amet dictum sit amet justo.

Lacus laoreet non curabitur gravida arcu ac tortor dignissim convallis. Consectetur libero id faucibus nisl tincidunt eget nullam. Mattis aliquam faucibus purus in massa tempor nec. Odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Tempor orci dapibus ultrices in iaculis. Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.
","2020-07-08 19:00:00"
10,3,24,2,"DJ Tech","Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-08 21:00:00"
11,1,53,1,"Infernal","Infernal er en dansk dance-popduo bestående af sangerinde og sangskriver Lina Rafn og producer og sangskriver Paw Lagermann.","2020-07-09 17:00:00"
12,1,50,1,"Nik & Jay","Niclas “Nik” Petersen og Jannik “Jay” Thomsen debuterede med singlen ”Nik & Jay”, der ikke bare solgte til en guldcertificering, men også fik slået deres navn fast med syvtommersøm. Derfra var det hit på hit med ”Hot”, ”Pop-Pop”, ”En dag tilbage”, ”Lækker”, ”Kan du høre hende synge”, ”Boing!” og mange flere.

Som successen blev større og større begyndte de at samarbejde med en masse forskellige navne som Søren Huss, Rune RK og Morten Breum, Burhan G, Carpark North, Joey Moe, Sanne Salomonsen, og i 2012 indspillede de den officielle EM-sang sammen med herrelandsholdet.","2020-07-09 20:00:00"
13,1,35,1,"D-A-D","D-A-D sørger for masser af energi og el-spade, når de gæster Mediesuset for ottende gang til sommer. Siden 1980'erne har rockveteranerne turneret Danmark, resten af Europa og USA tyndt. Gruppen har eksisteret i omtrent ligeså mange år som Mediesuset, og bandet har været med hele syv gange siden debuten i 1995.

Selvom der er fart på, og bandet er vant til de største internationale scener, er det stadig noget helt særligt for Jesper Binzer, Stig Pedersen, Jacob Binzer og Laust Sonne at være med på Mediesuset.","2020-07-09 23:00:00"
14,2,57,1,"The Blue Van","The Blue Van er et dansk rock band, som består af Steffen Westmark (vokal og guitar), Søren Christensen (guitar, keyboard og kor), Allan Fjeldgaard Villadsen (bas) og Per Mølgaard Jørgensen (trommer og kor).","2020-07-09 18:30:00"
15,2,39,1,"D/Troit","Gør dig klar til en omgang møgbeskidt sydstats soul, når D/troit igen får de danske temperaturer til at nå tropiske højder. Til efteråret rammer det danske soulband spillestederne med en sådan kraft, at selv de amerikanske sydstater må blegne af misundelse.

Førstesinglen Soul Sound System, fra den kommende debut LP, er netop landet. Soul Sound System er så soulet og så beskidt på en varm og indbydende måde, så man aldrig havde gættet, at det er fem gutter fra København der står bag.

I 2015 udgav bandet en EP der, inden den overhovedet udkom, blev den spillet på national radio. Lyden af de blege, danske soul-drenge har efterfølgende også nået udlandet, hvor den har ramt både radioshows og blogs.","2020-07-09 21:30:00"
16,2,30,2,"DJ Sass","Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-09 23:30:00"
17,3,69,4,"B.J. Arnee Rothers Living Lights","Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.

Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.Ikke endnu fastsat navn","2020-07-09 17:00:00"
18,3,70,4,"De glade tressede ifølge Maharishi Sarangan","Et fortryllende visuelt foredrag omkring de glade tressere, hippiekulturen og den nyere tids størtste musikalske revolution. Levende, visuelt flot og inspirerende fortalt af den legendariske guru Maharishi Sarangan.","2020-07-09 19:00:00"
19,3,24,2,"DJ Tech","Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-09 21:00:00"
20,4,59,3,"Pink Floyd The Wall","Der er lagt op til et gensyn med klassikeren 'Pink Floyd The Wall' er en dystopisk og musikalsk rejse gennem rockmusikkens inderste verden, hvor stoffer og smertefulde minder tager magten, og kører Pink (Bob Geldorf) sikkert mod afgrunden. 

Filmen og især soundtracket står som en rockhistorisk milepæl verden over og må være anses for at være det perfekte 'must' til at starte fredagen på Mediesuset med.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/pink.jpg?itok=INc9rO8j","2020-07-09 11:00:00"
21,4,61,3,"Inside Llewyn Davis","Inside Llewyn Davis' følger musikeren Llewyn Davis, der forsøger at slå igennem som folk-sanger i New York i 1961. Men hans dybtfølte, indadvendte musik passer ikke til musikbranchen, der søger den lettere og mere optimistiske poplyd. 

Det bliver derfor kun til små scenejobs på den lokale bule, og det lille pladeselskab, der tidligere har udgivet en duetindspilning med ham, tror ikke på hans fremtid som solokunstner. 

Pengene er der derfor ikke mange af, og Llewyn lever fra hånden til munden og overnatter på en sofa hos sin utilfredse veninde. Trods modstanden og forhindringerne nægter den lidende kunstner at give op og sætter kursen mod en større og potentielt mere indbringende fremtid. 

Trods den grundlæggende grå stemning, fornægter auteur-parrets tørre humor sig ikke. Men samtidig er ’Inside Llewyn Davis’ et nyt eksempel på, at instruktørerne på plotsiden formår at forny sig gang på gang, og i deres nyeste film foregår handlingen over en uge, hvilket ender med at blive en knivskarp pointe.

Filmen hylder den kreative bølge, der kom ud af Greenwich Village i perioden med en række folk-sange fremført til perfektion af bl.a. skuespillerne Oscar Isaac, Justin Timberlake og Carey Mulligan. 

’Inside Llewyn Davis’ appellerer dog til andre end folk-entusiaster med sine bredt favnende, filmiske kvaliteter og tankevækkende plot.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/insidellewyndavisplakat.jpg?itok=w2zypV6E","2020-07-09 13:30:00"
22,4,51,2,"Chill'n Lounge","Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-09 16:00:00"
23,4,28,1,"All Star Jam Night","In massa tempor nec feugiat nisl. Cras ornare arcu dui vivamus arcu felis. In aliquam sem fringilla ut morbi tincidunt. Cras fermentum odio eu feugiat. Ullamcorper a lacus vestibulum sed arcu non odio euismod. Tellus mauris a diam maecenas sed enim ut sem. Felis imperdiet proin fermentum leo vel. Scelerisque fermentum dui faucibus in ornare. Eget nunc lobortis mattis aliquam faucibus purus in massa tempor. Laoreet sit amet cursus sit amet dictum sit amet justo.

Lacus laoreet non curabitur gravida arcu ac tortor dignissim convallis. Consectetur libero id faucibus nisl tincidunt eget nullam. Mattis aliquam faucibus purus in massa tempor nec. Odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Tempor orci dapibus ultrices in iaculis. Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.

Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-09 20:00:00"
24,1,36,1,"Thomas Helmig","Thomas Helmig (født 15. oktober 1964 i Egå, Aarhus) er en dansk sanger, sangskriver, musiker og producer. Fra 1983 til 1985 var han sanger og frontfigur i soul- og funkgruppen Elevatordrengene, og debuterede som solist i 1985 på støttesinglen ""Afrika"", og samme år med albummet Thomas. ","2020-07-10 17:00:00"
25,1,40,1,"Aqua","Aqua er en dansk dance-popgruppe med den norskfødte forsanger Lene Nystrøm og to danskfødte medlemmer René Dif (rap) og Søren Rasted (keyboard). Indtil 2016 indgik Claus Norréen (guitarist) også. Gruppen blev dannet i 1994 og fik internationalt gennembrud med deres fjerde single ""Barbie Girl"". I 2001 blev gruppen opløst og senere gendannet i 2007 [1]. Aqua er med 33 millioner solgte plader den mest succesrige danske musikgruppe nogensinde målt på salg.","2020-07-10 20:00:00"
26,1,32,1,"Blur","Blur er et engelsk rock band, stiftet i 1989 under navnet Seymour, men skiftede i 1990 navn til Blur efter krav fra deres pladeselskab Food Records. Bandet består af Damon Albarn (sang, klaver, keyboard), Graham Coxon (guitar, sang), Alex James (bas) og Dave Rowntree (trommer). Coxon forlod gruppen i 2002 for at koncentrere sig som sin solokarriere, men vendte tilbage til gruppen i 2009.

Gruppen var i begyndelsen af 90'erne ét af de første såkaldte britpop-bands, der sammen med Suede, Oasis og Pulp gjorde 60'er-inspireret rockmusik populær igen. Gruppen vendte sig dog væk fra britpoppen ved udgivelsen af Blur (1997) og 13 (1999) og begyndte at spille i en stil nærmere art-rock.

Efter 2003 holdt gruppen en pause, men vendte i 2009 ved en række koncerter i Storbritannien og i april 2010 lagde bandet singlen """"Fool's Day"""" ud til gratis download på bandets hjemmeside. De har efter gendannelsen turneret internationalt og udgivet albummet The Magic Whip (2015), der blev nr. 1 i England.","2020-07-10 23:00:00"
27,2,27,1,"Hej Matematik","Hej Matematik er en dansk popduo bestående af Søren Rasted og hans nevø Nicolaj Rasted. Duoen udgav i 2007 singlerne ""Gymnastik"" og ""Centerpubben"" fra albummet Vi burde ses noget mere, udgivet på Copenhagen Records i februar 2008.","2020-07-10 18:30:00"
28,2,44,1,"FM Belfast","Igennem de seneste ti år har bandet spillet på festivaler og klubber over det meste af verden, lige fra de tidligeste shows i hjembyen Reykjavik til USA, Sydney og Tokyo. De har crowd-surfed på en lille hamburger bar I Norge med 20 tilskuere, og varmet op for The Flaming Lips i Sydney med titusinde dansende tilskuere. Ydermere blev de blev også særligt fremhævet på den anerkendte amerikanske festival SXSW Austin, da de optrådte der.","2020-07-10 21:30:00"
29,2,54,1,"Kato","Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-10 23:30:00"
30,3,71,4,"Lennon lever","Den excentriske Lennon fan, Kimbo, har skabt en virtuel verden hvor du kan udforske den afdøde sanger og Beatles medlem, John Lennons kunstneriske univers. Den anmelderroste udstilling høstede fem stjerner ved The Grand New Yorker Exhibition sidste år og er blevet solgt tre gange til en by i Laos.","2020-07-10 17:00:00"
31,3,72,4,"Kunsten på Kroppen","Den legendariske punkdame Lady Sush har skrevet en sang til hver eneste af de 28 tatoveringer hun har over hele kroppen. I showet vil hun fortælle om hendes valg, kunsten og de mange skrifttyper - alt sammen akkompagneret til hendes salige guitarspil.","2020-07-10 19:00:00"
